Feature,Importance,Std
mobile_gaming_ratio,0.01169903616430391,0.0029987844378714917
screen_time_total,0.009818192899930056,0.004906252635612224
caffeine_intake,0.008381192157408656,0.005092858753459018
academic_performance,0.00799045990114582,0.00561856266946469
streaming_hours,0.007714473735553673,0.007613908809625344
microtransactions_spending,0.006656890551080874,0.003583821754491167
anxiety_score,0.006592260029522101,0.003064339606420169
weekend_gaming_hours,0.006065340196863866,0.004219176280667349
depression_score,0.005796038434411821,0.006373179242674108
income,0.0055615776726361974,0.003656518932103248
toxic_exposure,0.005445807076020226,0.0022672616448252197
addiction_level,0.005294300537705065,0.002139968282971292
night_gaming_ratio,0.005282773728983214,0.003796501905469139
daily_gaming_hours,0.004976388879414972,0.005387959242075037
exercise_hours,0.00469591769687987,0.006227551950111607
multiplayer_ratio,0.003224686465413551,0.005152895395263795
years_gaming,0.003066792955355968,0.002316085502393713
back_pain_score,0.002815190900579423,0.0030762284156241396
sleep_hours,0.002636160382399111,0.006215992153475676
social_interaction_score,0.002428583675550422,0.005995338213913525
competitive_rank,0.0021931178411166317,0.0023491243714645164
happiness_score,0.00210373879036736,0.0044552643991358325
age,0.0017192344150745887,0.004756480546194112
bmi,0.0017064825436802211,0.004398089132991018
friends_gaming_count,0.0016549645739039275,0.0021225752683140526
loneliness_score,0.001435854560308003,0.004267058906668784
online_friends,0.0012765650023822905,0.0024277139224490683
parental_supervision,0.0008757134293161939,0.002591479587037271
esports_interest,0.000760872086254094,0.0026117465067216654
relationship_satisfaction,0.0006659972176259133,0.005226224554133645
gender_Other,-0.00021512035001239883,0.0003585821292029072
aggression_score,-0.0007315399587837224,0.005214936777946084
gender_Male,-0.0011903124969340206,0.0017292767686778521
headset_usage,-0.0012307006217696203,0.001354823158957359
stress_level,-0.0016736666000409018,0.004662434482754691
weekly_sessions,-0.002202312063146916,0.00346490356703755
violent_games_ratio,-0.00380825984715355,0.004185661941825981
work_productivity,-0.006451525494715615,0.0033150366700988605
eye_strain_score,-0.007069252140742976,0.0030221929852427133
